"id","text","url","type"
"236","鲁菜","https://www.douguo.com/caipu/%E9%B2%81%E8%8F%9C","中国菜"
"237","浙菜","https://www.douguo.com/caipu/%E6%B5%99%E8%8F%9C","中国菜"
"238","淮扬菜","https://www.douguo.com/caipu/%E6%B7%AE%E6%89%AC%E8%8F%9C","中国菜"
"239","苏菜","https://www.douguo.com/caipu/%E8%8B%8F%E8%8F%9C","中国菜"
"240","潮州菜","https://www.douguo.com/caipu/%E6%BD%AE%E5%B7%9E%E8%8F%9C","中国菜"
"241","西北菜","https://www.douguo.com/caipu/%E8%A5%BF%E5%8C%97%E8%8F%9C","中国菜"
"242","闽菜","https://www.douguo.com/caipu/%E9%97%BD%E8%8F%9C","中国菜"
"243","徽菜","https://www.douguo.com/caipu/%E5%BE%BD%E8%8F%9C","中国菜"
"244","云南菜","https://www.douguo.com/caipu/%E4%BA%91%E5%8D%97%E8%8F%9C","中国菜"
"245","新疆菜","https://www.douguo.com/caipu/%E6%96%B0%E7%96%86%E8%8F%9C","中国菜"
"246","晋菜","https://www.douguo.com/caipu/%E6%99%8B%E8%8F%9C","中国菜"
"247","日本料理","https://www.douguo.com/caipu/%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86","外国菜"
"248","韩国料理","https://www.douguo.com/caipu/%E9%9F%A9%E5%9B%BD%E6%96%99%E7%90%86","外国菜"
"249","泰国菜","https://www.douguo.com/caipu/%E6%B3%B0%E5%9B%BD%E8%8F%9C","外国菜"
"250","法国料理","https://www.douguo.com/caipu/%E6%B3%95%E5%9B%BD%E6%96%99%E7%90%86","外国菜"
"251","意大利菜","https://www.douguo.com/caipu/%E6%84%8F%E5%A4%A7%E5%88%A9%E8%8F%9C","外国菜"
"252","东南亚菜","https://www.douguo.com/caipu/%E4%B8%9C%E5%8D%97%E4%BA%9A%E8%8F%9C","外国菜"
"253","德国菜","https://www.douguo.com/caipu/%E5%BE%B7%E5%9B%BD%E8%8F%9C","外国菜"
"254","印度菜","https://www.douguo.com/caipu/%E5%8D%B0%E5%BA%A6%E8%8F%9C","外国菜"
"255","墨西哥菜","https://www.douguo.com/caipu/%E5%A2%A8%E8%A5%BF%E5%93%A5%E8%8F%9C","外国菜"
"256","西班牙菜","https://www.douguo.com/caipu/%E8%A5%BF%E7%8F%AD%E7%89%99%E8%8F%9C","外国菜"
"257","瑞士菜","https://www.douguo.com/caipu/%E7%91%9E%E5%A3%AB%E8%8F%9C","外国菜"
"258","北京小吃","https://www.douguo.com/caipu/%E5%8C%97%E4%BA%AC%E5%B0%8F%E5%90%83","各地小吃"
"259","天津小吃","https://www.douguo.com/caipu/%E5%A4%A9%E6%B4%A5%E5%B0%8F%E5%90%83","各地小吃"
"260","河北小吃","https://www.douguo.com/caipu/%E6%B2%B3%E5%8C%97%E5%B0%8F%E5%90%83","各地小吃"
"261","山西小吃","https://www.douguo.com/caipu/%E5%B1%B1%E8%A5%BF%E5%B0%8F%E5%90%83","各地小吃"
"262","蒙古小吃","https://www.douguo.com/caipu/%E8%92%99%E5%8F%A4%E5%B0%8F%E5%90%83","各地小吃"
"263","上海小吃","https://www.douguo.com/caipu/%E4%B8%8A%E6%B5%B7%E5%B0%8F%E5%90%83","各地小吃"
"264","山东小吃","https://www.douguo.com/caipu/%E5%B1%B1%E4%B8%9C%E5%B0%8F%E5%90%83","各地小吃"
"265","江苏小吃","https://www.douguo.com/caipu/%E6%B1%9F%E8%8B%8F%E5%B0%8F%E5%90%83","各地小吃"
"266","浙江小吃","https://www.douguo.com/caipu/%E6%B5%99%E6%B1%9F%E5%B0%8F%E5%90%83","各地小吃"
"267","安徽小吃","https://www.douguo.com/caipu/%E5%AE%89%E5%BE%BD%E5%B0%8F%E5%90%83","各地小吃"
"268","吉林小吃","https://www.douguo.com/caipu/%E5%90%89%E6%9E%97%E5%B0%8F%E5%90%83","各地小吃"
"269","辽宁小吃","https://www.douguo.com/caipu/%E8%BE%BD%E5%AE%81%E5%B0%8F%E5%90%83","各地小吃"
"270","陕西小吃","https://www.douguo.com/caipu/%E9%99%95%E8%A5%BF%E5%B0%8F%E5%90%83","各地小吃"
"271","新疆小吃","https://www.douguo.com/caipu/%E6%96%B0%E7%96%86%E5%B0%8F%E5%90%83","各地小吃"
"272","宁夏小吃","https://www.douguo.com/caipu/%E5%AE%81%E5%A4%8F%E5%B0%8F%E5%90%83","各地小吃"
"273","甘肃小吃","https://www.douguo.com/caipu/%E7%94%98%E8%82%83%E5%B0%8F%E5%90%83","各地小吃"
"274","青海小吃","https://www.douguo.com/caipu/%E9%9D%92%E6%B5%B7%E5%B0%8F%E5%90%83","各地小吃"
"275","湖北小吃","https://www.douguo.com/caipu/%E6%B9%96%E5%8C%97%E5%B0%8F%E5%90%83","各地小吃"
"276","湖南小吃","https://www.douguo.com/caipu/%E6%B9%96%E5%8D%97%E5%B0%8F%E5%90%83","各地小吃"
"277","河南小吃","https://www.douguo.com/caipu/%E6%B2%B3%E5%8D%97%E5%B0%8F%E5%90%83","各地小吃"
"278","江西小吃","https://www.douguo.com/caipu/%E6%B1%9F%E8%A5%BF%E5%B0%8F%E5%90%83","各地小吃"
"279","重庆小吃","https://www.douguo.com/caipu/%E9%87%8D%E5%BA%86%E5%B0%8F%E5%90%83","各地小吃"
"280","四川小吃","https://www.douguo.com/caipu/%E5%9B%9B%E5%B7%9D%E5%B0%8F%E5%90%83","各地小吃"
"281","云南小吃","https://www.douguo.com/caipu/%E4%BA%91%E5%8D%97%E5%B0%8F%E5%90%83","各地小吃"
"282","贵州小吃","https://www.douguo.com/caipu/%E8%B4%B5%E5%B7%9E%E5%B0%8F%E5%90%83","各地小吃"
"283","西藏小吃","https://www.douguo.com/caipu/%E8%A5%BF%E8%97%8F%E5%B0%8F%E5%90%83","各地小吃"
"284","广东小吃","https://www.douguo.com/caipu/%E5%B9%BF%E4%B8%9C%E5%B0%8F%E5%90%83","各地小吃"
"285","福建小吃","https://www.douguo.com/caipu/%E7%A6%8F%E5%BB%BA%E5%B0%8F%E5%90%83","各地小吃"
"286","广西小吃","https://www.douguo.com/caipu/%E5%B9%BF%E8%A5%BF%E5%B0%8F%E5%90%83","各地小吃"
"287","海南小吃","https://www.douguo.com/caipu/%E6%B5%B7%E5%8D%97%E5%B0%8F%E5%90%83","各地小吃"
"288","香港小吃","https://www.douguo.com/caipu/%E9%A6%99%E6%B8%AF%E5%B0%8F%E5%90%83","各地小吃"
