"id","img","text","type"
"119","http://i1.douguo.net//upload/shicai/1446108678.jpg","口蘑","菌藻类"
"120",,,"菌藻类"
"121","http://i1.douguo.net//upload/shicai/1446113762.jpg","罗汉果","药材类"
"122","http://i1.douguo.net//upload/shicai/1446100887.jpg","川贝","药材类"
"123","http://i1.douguo.net//upload/shicai/1446102383.jpg","首乌","药材类"
"124","http://i1.douguo.net//upload/shicai/1446026737.jpg","人参","药材类"
"125","http://i1.douguo.net//upload/shicai/1446106769.jpg","荷叶","药材类"
"126","http://i1.douguo.net//upload/shicai/1446099008.jpg","阿胶","药材类"
"127","http://i1.douguo.net//upload/shicai/1446101219.jpg","冬虫夏草","药材类"
"128","http://i1.douguo.net//upload/shicai/1446100725.jpg","陈皮","药材类"
"129","http://i1.douguo.net//upload/shicai/1446100191.jpg","白芷","药材类"
"130","http://i1.douguo.net//upload/shicai/1446026752.jpg","肉桂","药材类"
"131",,,"药材类"
"132","http://i1.douguo.net//upload/shicai/1446028081.jpg","酸菜","酸菜、腌菜类"
"133","http://i1.douguo.net//upload/shicai/1446101303.jpg","榨菜","酸菜、腌菜类"
"134","http://i1.douguo.net/upload/shicai/1401778173.jpg","辣白菜","酸菜、腌菜类"
"135","http://i1.douguo.net//upload/shicai/1446026374.jpg","泡菜","酸菜、腌菜类"
"136","http://i1.douguo.net//upload/shicai/1446028124.jpg","酸笋","酸菜、腌菜类"
"137","http://i1.douguo.net/upload/shicai/1401778238.jpg","酸豆角","酸菜、腌菜类"
"138","http://i1.douguo.net/upload/shicai/1400235029.jpg","酸豇豆","酸菜、腌菜类"
"139",,,"酸菜、腌菜类"
"140","http://i1.douguo.net//upload/shicai/1446520102.jpg","虾","虾"
"141","http://i1.douguo.net/upload/shicai/1374475404.jpg","虾仁","虾"
"142","http://i1.douguo.net//upload/shicai/1446102055.jpg","海虾","虾"
"143","http://i1.douguo.net//upload/shicai/1446102182.jpg","河虾","虾"
"144","http://i1.douguo.net//upload/shicai/1446100305.jpg","北极虾","虾"
"145","http://i1.douguo.net//upload/shicai/1446108940.jpg","龙虾","虾"
"146","http://i1.douguo.net//upload/shicai/1446025929.jpg","明虾","虾"
"147","http://i1.douguo.net//upload/shicai/1446108221.jpg","基围虾","虾"
"148","http://i1.douguo.net//upload/shicai/1446520062.jpg","小龙虾","虾"
"149","http://i1.douguo.net//upload/shicai/1446026417.jpg","皮皮虾","虾"
"150",,,"虾"
"151","http://i1.douguo.net//upload/shicai/1446028163.jpg","梭子蟹","蟹"
"152","http://i1.douguo.net//upload/shicai/1446100988.jpg","大闸蟹","蟹"
"153","http://i1.douguo.net//upload/shicai/1446102278.jpg","河蟹","蟹"
"154","http://i1.douguo.net/upload/baike/21/caec_ce.jpg","螃蟹","蟹"
"155","http://i1.douguo.net//upload/shicai/1446026653.jpg","青蟹","蟹"
"156","http://i1.douguo.net/upload/baike/196/cozk_ce.jpg","海蟹","蟹"
"157","http://i1.douguo.net//upload/shicai/1446101078.jpg","帝王蟹","蟹"
"158","http://i1.douguo.net//upload/shicai/1446107301.jpg","花蟹","蟹"
"159","http://i1.douguo.net//upload/shicai/1446026860.jpg","沙蟹","蟹"
"160",,,"蟹"
"161","http://i1.douguo.net//upload/shicai/1446101983.jpg","海螺","贝"
"162","http://i1.douguo.net//upload/shicai/1446026982.jpg","扇贝","贝"
"163","http://i1.douguo.net/upload/shicai/1374476161.jpg","鲜贝","贝"
"164","http://i1.douguo.net//upload/shicai/1446101624.jpg","干贝","贝"
"165","http://i1.douguo.net//upload/shicai/1446101862.jpg","蛤蜊","贝"
"166","http://i1.douguo.net//upload/shicai/1446100808.jpg","蛏子","贝"
"167","http://i1.douguo.net//upload/shicai/1501642217.jpg","生蚝","贝"
"168","http://i1.douguo.net//upload/shicai/1446028354.jpg","文蛤","贝"
"169","http://i1.douguo.net//upload/shicai/1446100288.jpg","鲍鱼","贝"
"170","http://i1.douguo.net//upload/shicai/1446101889.jpg","海蚌","贝"
"171",,,"贝"
"172","http://i1.douguo.net//upload/shicai/1446100780.jpg","鱼丸","其它"
"173","http://i1.douguo.net//upload/shicai/1446100801.jpg","鱼籽","其它"
"174","http://i1.douguo.net//upload/shicai/1446098352.jpg","鱿鱼","其它"
"175","http://i1.douguo.net//upload/shicai/1446026001.jpg","墨鱼","其它"
"176","http://i1.douguo.net//upload/shicai/1446101908.jpg","海参","其它"
"177","http://i1.douguo.net//upload/shicai/1446102096.jpg","海蜇","其它"
"178","http://i1.douguo.net//upload/shicai/1446108301.jpg","甲鱼","其它"
"179","http://i1.douguo.net//upload/shicai/1446026077.jpg","木鱼花","其它"
"180","http://i1.douguo.net//upload/shicai/1446108440.jpg","金枪鱼罐头","其它"
"181","http://i1.douguo.net//upload/shicai/1446020003.jpg","蟹柳","其它"
"182",,,"其它"
"183","http://i1.douguo.net//upload/shicai/1446100672.jpg","草鱼","鱼"
"184","http://i1.douguo.net//upload/shicai/1446108248.jpg","鲫鱼","鱼"
"185","http://i1.douguo.net//upload/shicai/1446108979.jpg","鲈鱼","鱼"
"186","http://i1.douguo.net//upload/shicai/1446108825.jpg","鲤鱼","鱼"
"187","http://i1.douguo.net//upload/shicai/1446026184.jpg","鲶鱼","鱼"
"188","http://i1.douguo.net//upload/shicai/1457946467.jpg","带鱼","鱼"
"189","http://i1.douguo.net//upload/shicai/1446026782.jpg","三文鱼","鱼"
"190","http://i1.douguo.net//upload/shicai/1446025512.jpg","鳕鱼","鱼"
"191","http://i1.douguo.net//upload/shicai/1446107622.jpg","黄鱼","鱼"
"192","http://i1.douguo.net//upload/shicai/1446100707.jpg","鲳鱼","鱼"
"193",,,"鱼"
"194","http://i1.douguo.net//upload/shicai/1446100921.jpg","大米","米"
"195","http://i1.douguo.net//upload/shicai/1446100580.jpg","糙米","米"
"196","http://i1.douguo.net//upload/shicai/1446025465.jpg","米饭","米"
"197","http://i1.douguo.net//upload/shicai/1446026326.jpg","糯米","米"
"198","http://i1.douguo.net//upload/shicai/1446026165.jpg","年糕","米"
"199","http://i1.douguo.net//upload/shicai/1446014869.jpg","香米","米"
"200","http://i1.douguo.net//upload/shicai/1446026341.jpg","糯米粉","米"
"201","http://i1.douguo.net//upload/shicai/1446101512.jpg","饵块","米"
"202","http://i1.douguo.net//upload/shicai/1446108500.jpg","粳米","米"
"203","http://i1.douguo.net//upload/shicai/1446013727.jpg","籼米","米"
"204",,,"米"
"205","http://i1.douguo.net//upload/shicai/1446025895.jpg","面粉","面"
"206","http://i1.douguo.net//upload/shicai/1446101662.jpg","高筋面粉","面"
"207","http://i1.douguo.net//upload/shicai/1446101040.jpg","低筋面粉","面"
"208","http://i1.douguo.net//upload/shicai/1446101355.jpg","中筋面粉","面"
"209","http://i1.douguo.net/upload/baike/67/ko_c.jpg","玉米面","面"
"210","http://i1.douguo.net//upload/shicai/1446026707.jpg","全麦粉","面"
"211","http://i1.douguo.net//upload/shicai/1446015305.jpg","小麦面粉","面"
"212","http://i1.douguo.net//upload/shicai/1446025912.jpg","面条","面"
"213","http://i1.douguo.net//upload/shicai/1446101778.jpg","挂面","面"
"214","http://i1.douguo.net//upload/shicai/1446097290.jpg","意大利面条","面"
"215",,,"面"
"216","http://i1.douguo.net//upload/shicai/1446015418.jpg","小米","杂粮"
"217","http://i1.douguo.net//upload/shicai/1446106813.jpg","黑米","杂粮"
"218","https://i1.douguo.com//upload/shicai/1591338772.jpg","紫米","杂粮"
"219","http://i1.douguo.net//upload/shicai/1446098034.jpg","薏米","杂粮"
"220","http://i1.douguo.net//upload/shicai/1446096250.jpg","燕麦片","杂粮"
"221","http://i1.douguo.net//upload/shicai/1446100905.jpg","大麦","杂粮"
"222","http://i1.douguo.net//upload/shicai/1446026502.jpg","荞麦","杂粮"
"223","http://i1.douguo.net//upload/shicai/1446107451.jpg","黄米","杂粮"
"224","http://i1.douguo.net//upload/shicai/1446101688.jpg","高粱米","杂粮"
"225","http://i1.douguo.net//upload/shicai/1446019969.jpg","小米面","杂粮"
"226",,,"杂粮"
"227","http://i1.douguo.net//upload/shicai/1446013415.jpg","西米","淀粉类"
"228","http://i1.douguo.net/upload/shicai/1397485988.jpg","粉丝","淀粉类"
"229","http://i1.douguo.net//upload/shicai/1446025982.jpg","魔芋","淀粉类"
"230","http://i1.douguo.net//upload/shicai/1446013742.jpg","籼米粉","淀粉类"
"231","http://i1.douguo.net//upload/shicai/1446025529.jpg","米粉","淀粉类"
"232",,,"淀粉类"
"233","http://i1.douguo.net//upload/shicai/1446026110.jpg","奶油","乳及其制品"
"234","http://i1.douguo.net//upload/shicai/1446026768.jpg","乳酪","乳及其制品"
"235","http://i1.douguo.net//upload/shicai/1446026279.jpg","牛奶","乳及其制品"
"236","http://i1.douguo.net//upload/shicai/1446107589.jpg","黄油","乳及其制品"
"237","http://i1.douguo.net//upload/shicai/1446028107.jpg","酸奶","乳及其制品"
"238",,,"乳及其制品"
"239","http://i1.douguo.net//upload/shicai/1446028318.jpg","豌豆","豆及其制品"
"240","http://i1.douguo.net//upload/shicai/1446108339.jpg","豇豆","豆及其制品"
"241","http://i1.douguo.net//upload/shicai/1446107392.jpg","黄豆","豆及其制品"
"242","http://i1.douguo.net//upload/shicai/1446106986.jpg","红豆","豆及其制品"
"243","http://i1.douguo.net//upload/shicai/1446102298.jpg","荷兰豆","豆及其制品"
"244","http://i1.douguo.net//upload/shicai/1446114013.jpg","毛豆","豆及其制品"
"245","http://i1.douguo.net//upload/shicai/1446113839.jpg","绿豆","豆及其制品"
"246","http://i1.douguo.net//upload/shicai/1446100558.jpg","蚕豆","豆及其制品"
"247","http://i1.douguo.net//upload/shicai/1446101360.jpg","豆腐","豆及其制品"
"248","http://i1.douguo.net//upload/shicai/1446026126.jpg","南豆腐","豆及其制品"
"249",,,"豆及其制品"
